"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_G2M_CHECKPOINT",1.65675233250324e-12,8.28376166251621e-11,0.910119734774459,-0.442306730200186,-2.31776136054108,195,"RAD21/TFDP1/NEK2/SLC7A1/CENPF/SMC2/SLC38A1/INCENP/MKI67/MT2A/CUL4A/KMT5A/HMGA1/KIF20B/ODF2/NUP50/NOTCH2/CCNT1/HIF1A/DBF4/UBE2S/EGF/EFNA5/NDC80/KIF11/EZH2/KNL1/EXO1/STAG1/BUB3/BUB1/KIF4A/NOLC1/RPS6KA5/SMC4/XPO1/RASAL2/BRCA2/PRIM2/TACC3/KIF23/CDKN2C/ILF3/UCK2/CDC7/CDC45/NSD2/KPNA2/KIF2C/CUL5/BARD1/HNRNPU/FANCC/TTK/MEIS2/CENPE/RACGAP1/SQLE/CUL1/TOP2A/CKS1B/HSPA8/PURA/MCM2/RAD23B/CDK1/NUP98/KPNB1/CCND1/CDC27/LBR/G3BP1/MCM3/HMMR/CHAF1A/CUL3/TROAP/DR1/NCL/TRA2B/SRSF10/SS18/TMPO/STIL/ARID4A/UPF1/LMNB1/SNRPD1/AURKA/CDC6/DDX39A/HIRA/CDC20/ESPL1/MNAT1/POLE/PDS5B/LIG3/DTYMK/SRSF2/SMC1A/TNPO2/TENT4A/CCNB2/PLK1/ORC5"
"HALLMARK_E2F_TARGETS",1.86541969383339e-08,4.66354923458348e-07,0.73376198835648,-0.376520633792155,-1.97692343441999,199,"NUP205/DIAPH3/MCM4/RAD21/CTPS1/DSCC1/PRKDC/ANP32E/NBN/CIT/ATAD2/DNMT1/MKI67/RFC3/BUB1B/HMGA1/BRCA1/DEPDC1/UBE2S/CDCA8/PSMC3IP/RAD50/EXOSC8/EZH2/NUP107/STAG1/KIF4A/NOLC1/SMC4/XPO1/EIF2S1/BRCA2/PRIM2/TACC3/CDKN2C/ILF3/SPAG5/SMC3/TIMELESS/UBR7/TIPIN/KPNA2/KIF2C/BARD1/RPA1/CENPE/RACGAP1/RAD51C/PMS2/TOP2A/CKS1B/MCM2/DLGAP5/SSRP1/CDK1/RAD51AP1/LBR/MCM3/HMMR/UBE2T/MTHFD2/KIF18B/USP1/TRA2B/E2F8/NUP153/TMPO/PNN/LUC7L3/LMNB1/AURKA/SMC6/DDX39A/CDKN2A/CDC20/MMS22L/ESPL1/DEK/ING3/CNOT9/POLE/PDS5B/RFC2/SRSF2/RANBP1/TRIP13/IPO7/SMC1A"
"HALLMARK_MITOTIC_SPINDLE",1.23704831868716e-07,2.06174719781194e-06,0.690132458796796,-0.367100692134476,-1.92366912271962,195,"BCL2L11/CDC42BPA/NEK2/CENPF/CEP192/INCENP/ARFGEF1/CTTN/ARHGAP10/KIF20B/RALBP1/TUBGCP3/ALS2/TSC1/APC/CDC42EP1/DOCK4/NOTCH2/ROCK1/ARHGEF7/SPTBN1/TUBGCP5/KNTC1/NDC80/KIF11/FSCN1/NIN/DST/ARHGAP29/ARHGEF11/ARHGEF12/CDK5RAP2/MYO1E/ARL8A/HOOK3/RAB3GAP1/BUB1/KIF4A/ARHGDIA/ITSN1/SMC4/CLIP1/RASAL2/WASF2/BRCA2/PCNT/ANLN/CKAP5/KIF23/SMC3/SASS6/ARHGEF2/LRPPRC/KIF2C/ARHGAP5/TTK/TIAM1/RASA2/AKAP13/MYO9B/CENPE/RACGAP1/FGD4/DOCK2/ECT2/TOP2A/SYNPO/DLGAP5/CD2AP/CDK1/RANBP9/ARHGAP4"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",3.70848536523655e-05,0.000463560670654569,0.557332238758646,-0.327110465721101,-1.70499210072203,191,"TRIM25/RIPK2/HERC6/SECTM1/SELP/RNF213/ADAR/LY6E/TNFAIP2/MT2A/BST2/ZBP1/SAMD9L/PELI1/BANK1/HIF1A/XAF1/ST8SIA4/WARS1/CIITA/IFIT2/CFH/IFIT3/USP18/P2RY14/DDX60/IFI44L/CD274/TRIM14/PTGS2/OAS2/PARP14/RSAD2/CASP8/PTPN2/PSMA2/SAMHD1/LATS2/TOR1B/HLA-DMA/CSF2RB/MX1/EIF2AK2/BPGM/STAT2/IFI44/NLRC5/CMPK2/IFIT1/VCAM1/NFKBIA/PNPT1/IL15/GZMA/CASP1/IRF8/HLA-DRB1/FCGR1A/UPP1/PSME2/PLA2G4A/CD38/IL7/FPR1/GBP4/BATF2/MTHFD2/SPPL2A/NAMPT/LCP2/MARCHF1/ARID5B/CCL5"
"HALLMARK_PROTEIN_SECRETION",0.001215808018907,0.01215808018907,0.45505986738723,-0.351487803647936,-1.64745195340781,94,"CAV2/ANP32E/VPS4B/SGMS1/AP3B1/ARFGEF1/SEC22B/RAB14/ADAM10/EGFR/DST/COG2/TPD52/PPT1/VAMP4/VPS45/MAPK1/NAPG/DNM1L/CLN5/ATP6V1H/RER1/SCAMP3/AP3S1/TSPAN8/KRT18/AP1G1/VAMP7/TOM1L1/RAB2A/CLCN3/SCAMP1/GALC/LMAN1/YKT6/MON2"
"HALLMARK_GLYCOLYSIS",0.00341287509899232,0.0219839834032019,0.431707695803346,0.333693062551872,1.49209140429994,185,"GPC4/EGLN3/PHKA2/TFF3/SPAG4/VEGFA/PLOD1/CASP6/SAP30/ALDOB/LHPP/GLCE/GPC3/ANG/FAM162A/PPFIA4/B3GNT3/ADORA2B/LDHA/STC2/GMPPB/PYGB/PDK3/ABCB6/GALK1/NANP/B4GALT4/P4HA2/NSDHL/CD44/NOL3/GAL3ST1/P4HA1/IGFBP3/IER3/GFPT1/GALE/DDIT4/EXT2/PC/SOX9/SLC37A4/SDC3/ALDOA/IL13RA1/B4GALT1/TGFBI/SDC1/ALG1/CHPF"
"HALLMARK_HYPOXIA",0.00323672921709475,0.0219839834032019,0.431707695803346,0.334415956700249,1.49532378838597,185,"PGM1/PCK1/GPC4/PKLR/PRDX5/VHL/PLIN2/VEGFA/SDC4/CASP6/SAP30/EFNA1/ALDOB/ALDOC/STBD1/BNIP3L/GPC3/CP/FAM162A/FOXO3/PPFIA4/SLC6A6/ADORA2B/ENO3/NAGK/PPP1R3C/LDHA/S100A4/STC2/JUN/PDK3/GALK1/SCARB1/P4HA2/KDM3A/P4HA1/IGFBP3/IER3/DDIT4/CCN5/SLC37A4/SDC3/PFKL/BHLHE40/ALDOA/TGFBI"
"HALLMARK_UV_RESPONSE_DN",0.00351743734451231,0.0219839834032019,0.431707695803346,-0.295424191800951,-1.4762646440351,140,"SERPINE1/CDC42BPA/TJP1/PRKAR2B/RND3/SLC7A1/PIK3R3/ADGRL2/NR3C1/NOTCH2/SIPA1L1/CAV1/IRS1/NEK7/PTGFR/PRKCE/F3/PIAS3/PIK3CD/RXRA/MT1E/PTPN21/NRP1/GJA1/PRDM2/WDR37/PTPRM/ATP2B4/ATP2C1/AMPH/CAP2/ZMIZ1/FYN/MAP1B/VLDLR/TOGARAM1/RASA2/TFPI/MRPS31/ATP2B1/MET"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00492117421519015,0.0273398567510564,0.407017918923954,-0.330143306501195,-1.54223824097897,95,"TRIM25/SAMD9/RIPK2/HERC6/ADAR/LY6E/BST2/PARP9/TMEM140/SAMD9L/WARS1/IFIT2/IFIT3/USP18/DDX60/SELL/IFI44L/TRIM14/TENT5A/PARP14/RSAD2/LPAR6/CASP8/ELF1/CD47/MX1/EIF2AK2/STAT2/IFI44/CMPK2/PNPT1/IL15/CASP1/NUB1/PSME2/IL7/GBP4/BATF2"
"HALLMARK_ALLOGRAFT_REJECTION",0.00886563306710593,0.0443281653355297,0.380730400722792,-0.264885853678622,-1.35195899005019,177,"BCAT1/TLR6/RIPK2/TAP2/LYN/CCND2/EIF3A/LIF/BRCA1/SRGN/HDAC9/PRF1/HIF1A/ETS1/ST8SIA4/WARS1/EGFR/CXCL13/IL2RA/CCL22/IL12RB1/TPD52/CD28/ITK/FYB1/CD1D/CD47/PTPRC/NOS2/IL11/CD96/HLA-DMA/TLR1/CCL4/PRKCB/FGR/IL1B/IFNGR1/IL15/GALNT1/GZMA/IRF8/DEGS1/MTIF2/HCLS1/TLR2/HLA-DOB/IL18/NPM1/IL7/CCR2/LCP2/CD3G/ACHE/WAS/CCL5/EIF3J/AKT1/IKBKB/CDKN2A/TNF/HLA-DOA/ITGAL/IRF4/CCL11/IL2RB/ICAM1/MAP4K1/UBE2N/EIF4G3/HLA-DRA/JAK2/INHBB/CCR5/CD3E/ABCE1/CSF1/GLMN/CD3D/STAT4/UBE2D1"
