"pathway","NES","padj","permutation","n_overlap_with_biologic","dropped_ids"
"HALLMARK_G2M_CHECKPOINT",-2.33769962270319,6.92093336524758e-11,1,5,"TCGA-5M-AAT6/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-A016/TCGA-AZ-4682/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-2.13797250423754,1.12222301720967e-08,1,5,"TCGA-5M-AAT6/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-A016/TCGA-AZ-4682/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_ALLOGRAFT_REJECTION",-2.13480562552917,3.55576169700469e-08,1,5,"TCGA-5M-AAT6/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-A016/TCGA-AZ-4682/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_E2F_TARGETS",-2.03703757596755,3.82766905910119e-08,1,5,"TCGA-5M-AAT6/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-A016/TCGA-AZ-4682/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_COMPLEMENT",-1.65135257509773,0.000999309222963276,1,5,"TCGA-5M-AAT6/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-A016/TCGA-AZ-4682/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.75141220749711,0.00328325952811813,1,5,"TCGA-5M-AAT6/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-A016/TCGA-AZ-4682/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_INFLAMMATORY_RESPONSE",-1.32448090969523,0.0245917647350042,1,5,"TCGA-5M-AAT6/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-A016/TCGA-AZ-4682/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-1.35330602116262,0.102435440630545,1,5,"TCGA-5M-AAT6/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-A016/TCGA-AZ-4682/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_MYC_TARGETS_V1",-0.830541896844502,0.952380952380952,1,5,"TCGA-5M-AAT6/TCGA-AA-3930/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AG-A016/TCGA-AZ-4682/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-1.9938876437216,1.19887814342845e-06,2,5,"TCGA-AA-3844/TCGA-AA-3930/TCGA-AA-3972/TCGA-AD-6964/TCGA-AZ-4682/TCGA-CI-6620/TCGA-NH-A6GB/TCGA-RU-A8FL"
