"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",6.37865038738514e-26,3.18932519369257e-24,1.31888879607587,-0.584214057286581,-2.94084314525488,191,"TNFAIP2/VCAM1/CFH/IFIT3/FCGR1A/RIPK2/CD274/SECTM1/SAMD9L/CIITA/ST8SIA4/HERC6/LCP2/CMKLR1/USP18/GBP4/CCL5/GZMA/MT2A/WARS1/STAT1/CD86/RSAD2/IFIT2/HLA-DQA1/OAS2/STAT2/HLA-DMA/MX1/SLAMF7/MARCHF1/BANK1/IFI44L/DDX60/IFIT1/SERPING1/CSF2RB/XAF1/LATS2/P2RY14/SELP/BST2/HLA-DRB1/SOD2/ADAR/TNFAIP6/LY6E/FGL2/SAMHD1/SSPN/IL10RA/HIF1A/NFKBIA/IL2RB/IFI44/SOCS3/CMPK2/ST3GAL5/C1S/CD38/PSME2/CXCL9/PTGS2/MX2/IRF8/ICAM1/CD74/ARID5B/FPR1/STAT4/CD69/TRIM14/SP110/PARP14/BPGM/C1R/JAK2/IDO1/OAS3/SPPL2A/PELI1/TOR1B/PIM1/IRF4/APOL6/EIF2AK2/IRF7/MTHFD2/TXNIP/UPP1/PLSCR1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.926611997672e-25,4.81652999418001e-24,1.31101476274061,-0.582933454655267,-2.94015442260728,196,"FGF2/VEGFC/ADAM12/GAS1/VCAM1/POSTN/COL11A1/EDIL3/SERPINE1/GJA1/THBS1/HTRA1/CCN1/COL3A1/COL5A2/MXRA5/GREM1/COL5A1/COL8A2/WIPF1/NNMT/MMP2/COL6A3/PRRX1/COL5A3/COL12A1/GEM/VCAN/COL1A1/COL1A2/LRRC15/NOTCH2/INHBA/LOX/SPARC/COL4A1/SPP1/VIM/ECM2/DPYSL3/CCN2/COL4A2/ABI3BP/THBS2/ITGA5/CAP2/SFRP4/MSX1/FAP/LUM/COPA/FBN1/TIMP3/CDH11/FERMT2/SGCD/CDH2/FN1/BASP1/CXCL8/MMP14/CALD1/FSTL3/DCN/SNAI2/TNC/ITGB1/CALU/ITGAV/GADD45B/MFAP5/MGP/CXCL12/FSTL1/FBLN5/PDGFRB/COL16A1/CTHRC1/GPC1/BGN/NTM/SPOCK1/COL7A1/OXTR/SLIT2/PDLIM4/NID2/PCOLCE2/LAMC1/COL6A2/LOXL2/DKK1/LAMA2/MYLK/MMP1/RGS4/CXCL6/CADM1"
"HALLMARK_ALLOGRAFT_REJECTION",7.57497639746917e-19,1.26249606624486e-17,1.12391496374483,-0.550248400088105,-2.75263847444081,177,"BCAT1/LCK/HLA-DOA/SRGN/FYB1/CXCL13/RIPK2/IL2RA/PTPRC/ST8SIA4/TLR6/LCP2/ETS1/TLR1/CD96/CCL5/GZMA/HCLS1/IL1B/WARS1/STAT1/CD86/WAS/HLA-DQA1/HLA-DMA/CD28/IL18/INHBA/ITGAL/ITGB2/CD4/PRKCB/IGSF6/LY86/IL16/CCR5/FGR/TAP2/TLR2/ITK/CCL4/HLA-DRA/HDAC9/CD3G/CD3E/SPI1/CD2/IL12RB1/HIF1A/TNF/CD8A/IL2RB/CCR1/MAP4K1/CCL13/CD1D/EIF3A/CXCL9/CD247/FCGR2B/MAP3K7/LYN/IRF8/ICAM1/ACHE/CSF1/CD74/CD3D/CCR2/STAT4/GPR65/NLRP3/GBP2/CCL22/CCL19/JAK2/TPD52/HLA-DMB/KLRD1/IRF4/CD7/IRF7/STAB1/DEGS1/UBE2D1/NCF4/TGFB2/PRF1/THY1/LTB"
"HALLMARK_INFLAMMATORY_RESPONSE",2.34445569670816e-15,2.9305696208852e-14,1.00731795687447,-0.497345654216643,-2.48439991277836,179,"LCK/RGS16/SELL/SERPINE1/PCDH7/MSR1/RNF144B/C5AR1/RIPK2/IL1R1/LCP2/CMKLR1/TLR1/CCL5/PIK3R5/IL1B/SELE/C3AR1/OSMR/CALCRL/OSM/OLR1/IL18/IL7R/INHBA/CSF3R/CCR7/CYBB/AQP9/RASGRP1/TLR2/P2RX7/BST2/TNFAIP6/LY6E/ITGA5/APLNR/IL10RA/HIF1A/NFKBIA/CHST2/ABCA1/CXCL8/IL2RB/MMP14/GPR132/PTAFR/IL18R1/CXCL9/AXL/LYN/ICAM1/TNFRSF9/CSF1/TPBG/GNA15/RGS1/SCARF1/PDPN/CD14/FPR1/SPHK1/NLRP3/CD69/CXCR6/CCL22/SGMS2/CLEC5A/GPR183/ADM/SLAMF1/KLF6/LPAR1/CXCL6/EIF2AK2/IRF7/MARCO/STAB1/CSF3/CD55/BEST1/BDKRB1/CX3CL1/CD48/EBI3/PSEN1/AHR/ATP2C1/PTGIR/SLC31A1/GCH1/PTPRE/DCBLD2/IL15"
"HALLMARK_COMPLEMENT",8.9439167683676e-11,8.9439167683676e-10,0.839088935621274,-0.448317770088063,-2.24462422384409,180,"MMP13/LCK/PLEK/GNB4/C1QA/APOC1/CFH/SERPINE1/DUSP5/DOCK10/DPP4/PIK3CG/LCP2/TIMP2/CR1/CCL5/GZMA/PIK3R5/CD36/WAS/OLR1/CR2/LIPA/SERPING1/CPM/RASGRP1/FYN/PLA2G7/COL4A2/CTSL/ZFPM2/C1QC/GPD2/APOBEC3G/FCER1G/LGMN/FCN1/S100A9/FN1/MMP14/GNG2/ZEB1/C1S/DOCK4/USP14/HSPA1A/LYN/C3/NOTCH4/CTSD/CTSO/SPOCK2/C1R/JAK2/VCPIP1/PIK3CA/GMFB/PIM1/SH2B3/USP16/IRF7/MAFF/CTSC/EHD1/ITGAM/ME1/CDH13/PLSCR1/USP15/CD55/CTSB/LAP3"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.05962451676701e-09,8.83020430639178e-09,0.788186810800237,-0.429655121672671,-2.16318983175342,193,"PLEK/TNFAIP2/BIRC3/SERPINE1/DUSP5/DNAJB4/BCL2A1/CCN1/RIPK2/SLC2A3/TNFAIP8/CCL5/IL23A/IL1B/IFIT2/GEM/NR4A3/OLR1/IL18/IL7R/G0S2/INHBA/TLR2/CCL4/KLF9/SOD2/TNFAIP6/BCL6/NFKBIA/YRDC/TNF/ABCA1/IER5/FOSL1/SOCS3/PER1/CLCF1/SERPINB8/TNC/GADD45B/FOSL2/PTGS2/ICAM1/TNFRSF9/CSF1/GFPT2/DUSP1/IL6ST/SPHK1/PANX1/SGK1/MCL1/CD69/PLAU/MARCKS/DENND5A/RCAN1/MAP3K8/GPR183/MSC/PDLIM5/KLF6/EGR2/CXCL6/MAFF/EHD1/CD83/KLF10"
"HALLMARK_UV_RESPONSE_DN",1.66298183967177e-09,1.18784417119412e-08,0.788186810800237,-0.472354416064007,-2.27925392658758,140,"PRKAR2B/ADGRL2/COL11A1/SERPINE1/GJA1/AMPH/CCN1/COL3A1/COL5A2/NR3C1/NRP1/PIK3CD/CAV1/PTPN21/COL1A1/COL1A2/NOTCH2/CDC42BPA/SYNE1/PTPRM/MAP1B/IRS1/FYN/PIK3R3/MT1E/DLC1/RND3/CAP2/TJP1/KCNMA1/SNAI2/PTGFR/PIAS3/ATP2B4/FBLN5/DUSP1/PDGFRB/MMP16/ZMIZ1/NEK7/CITED2/PRDM2/MAGI2/SDC2/VLDLR/LAMC1/SIPA1L1/PDLIM5/LPAR1"
"HALLMARK_KRAS_SIGNALING_UP",6.80236255952888e-08,4.25147659970555e-07,0.704975715167238,-0.390186178805192,-1.94910421026556,179,"TRIB2/RGS16/GPNMB/BIRC3/CFH/MAFB/PECAM1/LY96/CMKLR1/NRP1/ETS1/PDCD1LG2/ETV1/IL1B/PRRX1/ADGRL4/C3AR1/DOCK2/PRDM1/IKZF1/IL7R/G0S2/INHBA/ITGB2/SPP1/HSD11B1/HDAC9/FCER1G/FLT4/TLR8/IL10RA/YRDC/NIN/GNG11/EPB41L3/LAPTM5/ANGPTL4/MAP4K1/TOR1AIP2/ADAM8/MTMR10/PTGS2/LCP1/USP12/IRF8/CD37/GFPT2/ADAMDEC1/APOD/SPARCL1/PLAU/RABGAP1L/BPGM/TSPAN13/F13A1/EMP1/SATB1/CXCR4/IL1RL2"
"HALLMARK_IL2_STAT5_SIGNALING",7.0104743490768e-07,3.89470797170933e-06,0.659444398037935,-0.376760245517245,-1.89901354155692,185,"BCL2/LRRC8C/RGS16/SELL/TNFRSF18/IL2RA/CST7/SLC2A3/SHE/NRP1/GBP4/PRKCH/CD86/COCH/TLR7/TIAM1/SWAP70/GLIPR2/SPP1/RHOH/SELP/COL6A1/FGL2/IL10RA/AHNAK/IL2RB/ITGAV/GADD45B/CYFIP1/IL18R1/TWSG1/PHTF2/IRF8/CD79B/TNFRSF9/CSF1/GPR65/SYT11/BATF3/GUCY1B1/RABGAP1L/DENND5A/MAP3K8/EMP1/KLF6/MYO1E/POU2F1/SPRY4/IKZF2/PIM1/CKAP4/IRF4/IRF6/MAFF/IL1RL1/CD83/PLSCR1/ICOS/BATF/HOPX/LTB/APLP1/PLEC/CD48/AHR/NFKBIZ/TNFRSF8/HIPK2/PTGER2/IL1R2/MYO1C/ETFBKMT/DCPS/MUC1/SCN9A/IFNGR1/MAPKAPK2/TNFRSF21/CCR4/CXCL10/NT5E"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.17666429261079e-06,5.88332146305396e-06,0.643551836150722,-0.456291235092339,-2.06047819626531,95,"SAMD9/SELL/IFIT3/RIPK2/SAMD9L/HERC6/USP18/GBP4/WARS1/RSAD2/IFIT2/PARP9/STAT2/TMEM140/MX1/IFI44L/DDX60/BST2/ADAR/LY6E/TENT5A/IFI44/CMPK2/C1S/PSME2/CSF1/CD74/GBP2/TRIM14/SP110/PARP14/EIF2AK2/IRF7/TXNIP/PLSCR1/LAP3/NUB1/CASP1/UBE2L6"
