"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",9.61194092293714e-19,4.80597046146857e-17,1.11466447751729,-0.510059871323592,-2.65465270911091,199,"CTPS1/DIAPH3/NUP205/MCM4/RAD21/DSCC1/ANP32E/BUB1B/SPAG5/DEPDC1/RFC3/PRKDC/NBN/MMS22L/HMMR/UBE2S/PSMC3IP/BRCA2/TACC3/TOP2A/LYAR/MKI67/ATAD2/BRCA1/CIT/DCK/HMGA1/CDCA8/NUP107/CDK1/PRIM2/DLGAP5/XPO1/RAD50/TMPO/EXOSC8/UBR7/EIF2S1/USP1/DNMT1/PAICS/KIF4A/RAD51AP1/TIPIN/CDKN2C/RACGAP1/SMC4/EZH2/TCF19/MTHFD2/LMNB1/SMC3/TRIP13/CENPE/RAD51C/SMC6/NOLC1/KIF2C/TIMELESS/SHMT1/ORC6/UBE2T/KPNA2/DEK/RFC2/MELK/SYNCRIP/MCM3/PTTG1/SRSF2/SPC25/BIRC5/DONSON/CKS1B/NUP153/DCLRE1B/PA2G4/IPO7/RANBP1/SLBP/CHEK2/RPA1/CCNB2/HMGB3/NCAPD2/CDC20/HELLS/LUC7L3/LBR/ESPL1/AK2/KIF18B/PDS5B/AURKA/MAD2L1/STAG1/CCP110/ING3/NASP/SSRP1/PMS2/NUDT21/CDKN3/MSH2/PNN/ILF3"
"HALLMARK_G2M_CHECKPOINT",7.38759183986762e-17,1.84689795996691e-15,1.05746357275086,-0.496075855327724,-2.58769412209672,195,"MT2A/SMC2/NEK2/TFDP1/RAD21/DBF4/CENPF/SLC38A1/RAD23B/SLC7A1/KNL1/HMMR/UBE2S/KMT5A/BRCA2/ODF2/TACC3/TTK/KIF11/KIF20B/CCNT1/TOP2A/FANCC/MKI67/NUP50/NSD2/HMGA1/CDK1/SRSF10/PRIM2/HIF1A/DR1/NDC80/CUL4A/XPO1/TMPO/CDC6/CDC27/BUB1/PURA/KIF4A/INCENP/NOTCH2/CDKN2C/RACGAP1/SMC4/BUB3/EZH2/LMNB1/CDC7/G3BP1/CENPE/HMGN2/KIF23/EXO1/KPNB1/NOLC1/KIF2C/ORC6/CUL5/DTYMK/KPNA2/CDC45/ORC5/SYNCRIP/MCM3/PTTG1/SRSF2/HNRNPU/EGF/MEIS2/STIL/CASP8AP2/BIRC5/TROAP/CKS1B/NCL/AMD1/EWSR1/RPS6KA5/CUL1/CCNB2/HMGB3/CDC20/HSPA8/EFNA5/HIRA/LBR/SLC7A5/SFPQ/ESPL1/SNRPD1/PDS5B/AURKA/MAD2L1/STAG1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",7.37277871448034e-09,1.22879645241339e-07,0.761460801445585,-0.401333886686609,-2.08858951679088,191,"MT2A/RIPK2/TRIM25/TNFAIP2/IFIT2/GZMA/IFI44L/IFIT3/SECTM1/SAMD9L/MX1/CIITA/OAS2/SAMHD1/VCAM1/CASP1/DDX60/HERC6/BST2/IL15/ST8SIA4/NAMPT/CD274/USP18/PNPT1/HIF1A/LY6E/CFH/BANK1/CCL5/LATS2/PELI1/IFI44/PTGS2/ADAR/SPPL2A/XAF1/PSME2/RSAD2/RNF213/SOD2/IRF8/IFIT1/STAT1/P2RY14/FCGR1A/EIF2AK2/CMKLR1/MTHFD2/TRIM14/GBP4/WARS1/SELP/BPGM/ST3GAL5/MARCHF1/HLA-DQA1/TOR1B/LCP2/GCH1/HLA-DMA/PIM1/STAT2/OAS3/NLRC5/PARP14/CASP8/SLAMF7/APOL6/RAPGEF6/BATF2/IFIH1/PTPN2/HLA-DRB1/CMPK2/CD86"
"HALLMARK_MITOTIC_SPINDLE",3.22693976783488e-06,4.0336747097936e-05,0.627256739718528,-0.349107427594773,-1.8210586721067,195,"NEK2/CDC42BPA/CENPF/TUBGCP5/BRCA2/BCL2L11/TTK/CDK5RAP2/KIF11/KIF20B/TOP2A/ARHGAP10/KNTC1/HOOK3/APC/ARFGEF1/CDK1/NIN/DLGAP5/NDC80/PCNT/TSC1/RANBP9/ROCK1/CDC27/BUB1/KIF4A/CEP192/SASS6/INCENP/ARL8A/NOTCH2/CLIP1/KIFAP3/DOCK4/RACGAP1/SMC4/ALS2/TUBGCP3/CDC42EP1/CCDC88A/LMNB1/SMC3/CENPE/ARHGAP29/KIF23/ANLN/KIF2C/RALBP1/CD2AP/CKAP5/TIAM1/LRPPRC/ARHGDIA/MYH10/FSCN1/ARHGEF12/ITSN1/BIRC5/RAPGEF6/ARHGEF7/CTTN/MYO1E/WASL/CCNB2/ECT2/ARF6/MYO9B/RAB3GAP1/DOCK2/CNTRL/FGD4/ESPL1/AURKA/PXN/CEP131/EZR/SPTBN1/FGD6/MYH9"
"HALLMARK_MYC_TARGETS_V1",0.000321780222715703,0.00321780222715703,0.49849310876659,-0.300948229166072,-1.56738294053977,198,"CTPS1/PABPC1/ETF1/MCM4/TFDP1/EPRS1/FAM120A/SERBP1/RAD23B/DDX21/SET/NCBP1/HDDC2/COPS5/EIF3J/AP3S1/NPM1/XPO1/EIF4H/XPOT/RRM1/HDGF/EIF2S1/MRPL9/USP1/HNRNPR/IARS1/CCT3/STARD7/HNRNPC/BUB3/HSP90AB1/G3BP1/KPNB1/NOLC1/SSBP1/KPNA2/HNRNPA3/SF3A1/DEK/CDC45/HSPD1/SYNCRIP/PABPC4/TCP1/PTGES3/RFC4/SRSF2/HNRNPU/CANX/RPL6/DDX18/VDAC1/CSTF2/POLE3/PA2G4/RANBP1"
"HALLMARK_ALLOGRAFT_REJECTION",0.000641221579010263,0.0049563822225296,0.477270815362862,-0.305420004080603,-1.57627886494398,177,"BCAT1/TAP2/RIPK2/GZMA/IL18/TLR6/IL1B/SRGN/BRCA1/IL15/ST8SIA4/CXCL13/FYB1/HIF1A/EIF3J/CCL5/MAP3K7/LYN/MTIF2/HLA-DOA/NPM1/UBE2N/IL2RA/PTPRC/CD96/EIF3A/IRF8/STAT1/CCND2/TNF/WARS1/TLR1/IFNGR1/HDAC9/PRF1/ETS1/RPL39/HLA-DQA1/CD3G/CCL4/ITK/LCP2/HLA-DMA/INHBA/TPD52/HCLS1/WAS/EGFR/CCL13/FGR/EIF4G3/CD86/BCL10/LIF/CCR5/JAK2/IL12RB1/CD1D/TLR2/ITGAL/IKBKB/CD2/UBE2D1/PRKCB/B2M/LY86/ABCE1/CD28/ITGB2/ACVR2A/HLA-DRA/IGSF6/CCR1/CD3D/NOS2/CD47/IL7/CD247/GALNT1/IL16/EIF3D/KLRD1/ACHE/TAP1/CD8A"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.000755613068174769,0.0049563822225296,0.477270815362862,0.429767855752345,1.73735312808159,73,"CTNNB1/FDFT1/SCD/PPARG/GLDC/MVK/ALDOC/HMGCS1/ETHE1/NSDHL/EBP/MVD/DHCR7/HSD17B7/TM7SF2/STX5/ACSS2/ATF5/ACAT2/CD9/SREBF2/SC5D/CYP51A1/HMGCR/JAG1/CHKA/PDK3/SEMA3B/FADS2/IDI1/ATXN2"
"HALLMARK_PROTEIN_SECRETION",0.000793021155604737,0.0049563822225296,0.477270815362862,-0.361265414264179,-1.67526053856231,94,"CAV2/VPS4B/ANP32E/RAB14/SEC22B/PPT1/SNX2/STX7/ARFGEF1/DNM1L/AP3S1/ATP6V1H/RER1/VAMP7/SGMS1/AP3B1/ADAM10/STX12/VPS45/TMX1/MAPK1/LMAN1/VAMP4/TPD52/SCAMP1/EGFR/CLN5/CTSC/AP1G1/NAPG/COG2/TSPAN8/BNIP3/TOM1L1/MON2/RAB2A/STAM/SNAP23/SSPN"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00152359747115976,0.00846443039533201,0.45505986738723,-0.362675159850164,-1.68350696105818,95,"SAMD9/RIPK2/TRIM25/IFIT2/IFI44L/IFIT3/SAMD9L/MX1/SELL/CASP1/DDX60/HERC6/BST2/IL15/PARP9/USP18/PNPT1/LY6E/IFI44/ADAR/PSME2/RSAD2/TMEM140/EIF2AK2/TRIM14/GBP4/WARS1/STAT2/PARP14/CASP8/BATF2/IFIH1"
"HALLMARK_GLYCOLYSIS",0.00331314523976346,0.0165657261988173,0.431707695803346,0.315229786946472,1.48685311579188,185,"EGLN3/PHKA2/SPAG4/PPFIA4/ABCB6/TFF3/B3GNT3/ADORA2B/VEGFA/GMPPB/PYGB/ALDOB/GLCE/GPC4/GAL3ST1/B4GALT4/TGFBI/GALK1/CASP6/LDHA/NSDHL/SDC1/ANG/PLOD1/P4HA1/CHPF/IGFBP3/ALDOA/EXT2/B4GALT1/SAP30/MXI1/GMPPA/P4HA2/NANP/CHST6/QSOX1/PSMC4/SLC37A4/ISG20/DDIT4/RBCK1/LHPP/FAM162A/NOL3/SDC3/POLR3K/SOX9/ELF3/CHST12/ALG1/PGLS/IL13RA1/IER3/PC/CD44/MERTK/B4GALT7/CHPF2/CLDN3/TPI1/PDK3/G6PD/GLRX/ENO2"
