"pathway","gene_symbol"
"HALLMARK_E2F_TARGETS","CTPS1"
"HALLMARK_E2F_TARGETS","DIAPH3"
"HALLMARK_E2F_TARGETS","NUP205"
"HALLMARK_E2F_TARGETS","MCM4"
"HALLMARK_E2F_TARGETS","RAD21"
"HALLMARK_E2F_TARGETS","DSCC1"
"HALLMARK_E2F_TARGETS","ANP32E"
"HALLMARK_E2F_TARGETS","BUB1B"
"HALLMARK_E2F_TARGETS","SPAG5"
"HALLMARK_E2F_TARGETS","DEPDC1"
"HALLMARK_E2F_TARGETS","RFC3"
"HALLMARK_E2F_TARGETS","PRKDC"
"HALLMARK_E2F_TARGETS","NBN"
"HALLMARK_E2F_TARGETS","MMS22L"
"HALLMARK_E2F_TARGETS","HMMR"
"HALLMARK_E2F_TARGETS","UBE2S"
"HALLMARK_E2F_TARGETS","PSMC3IP"
"HALLMARK_E2F_TARGETS","BRCA2"
"HALLMARK_E2F_TARGETS","TACC3"
"HALLMARK_E2F_TARGETS","TOP2A"
"HALLMARK_E2F_TARGETS","LYAR"
"HALLMARK_E2F_TARGETS","MKI67"
"HALLMARK_E2F_TARGETS","ATAD2"
"HALLMARK_E2F_TARGETS","BRCA1"
"HALLMARK_E2F_TARGETS","CIT"
"HALLMARK_E2F_TARGETS","DCK"
"HALLMARK_E2F_TARGETS","HMGA1"
"HALLMARK_E2F_TARGETS","CDCA8"
"HALLMARK_E2F_TARGETS","NUP107"
"HALLMARK_E2F_TARGETS","CDK1"
"HALLMARK_E2F_TARGETS","PRIM2"
"HALLMARK_E2F_TARGETS","DLGAP5"
"HALLMARK_E2F_TARGETS","XPO1"
"HALLMARK_E2F_TARGETS","RAD50"
"HALLMARK_E2F_TARGETS","TMPO"
"HALLMARK_E2F_TARGETS","EXOSC8"
"HALLMARK_E2F_TARGETS","UBR7"
"HALLMARK_E2F_TARGETS","EIF2S1"
"HALLMARK_E2F_TARGETS","USP1"
"HALLMARK_E2F_TARGETS","DNMT1"
"HALLMARK_E2F_TARGETS","PAICS"
"HALLMARK_E2F_TARGETS","KIF4A"
"HALLMARK_E2F_TARGETS","RAD51AP1"
"HALLMARK_E2F_TARGETS","TIPIN"
"HALLMARK_E2F_TARGETS","CDKN2C"
"HALLMARK_E2F_TARGETS","RACGAP1"
"HALLMARK_E2F_TARGETS","SMC4"
"HALLMARK_E2F_TARGETS","EZH2"
"HALLMARK_E2F_TARGETS","TCF19"
"HALLMARK_E2F_TARGETS","MTHFD2"
"HALLMARK_E2F_TARGETS","LMNB1"
"HALLMARK_E2F_TARGETS","SMC3"
"HALLMARK_E2F_TARGETS","TRIP13"
"HALLMARK_E2F_TARGETS","CENPE"
