"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007631","feeding behavior","3/16","53/12974",0.0566037735849057,45.8985849056604,11.5088979041469,3.47202677951679e-05,0.0115928221186317,0.00700953927744669,"STRA6/REN/DRD2",3
"GO:0006869","lipid transport","5/16","334/12974",0.0149700598802395,12.1388473053892,7.2468814949283,3.79431264237035e-05,0.0115928221186317,0.00700953927744669,"STRA6/RBP4/REN/DRD2/APOLD1",5
"GO:0007638","mechanosensory behavior","2/16","10/12974",0.2,162.175,17.9159309629479,6.37982892171895e-05,0.0115928221186317,0.00700953927744669,"STRA6/DRD2",2
"GO:0010876","lipid localization","5/16","379/12974",0.0131926121372032,10.6975593667546,6.7327761998781,6.93607919689223e-05,0.0115928221186317,0.00700953927744669,"STRA6/RBP4/REN/DRD2/APOLD1",5
"GO:0015850","organic hydroxy compound transport","4/16","201/12974",0.0199004975124378,16.136815920398,7.59971515292191,8.79360680330818e-05,0.0115928221186317,0.00700953927744669,"STRA6/RBP4/REN/DRD2",4
"GO:0003073","regulation of systemic arterial blood pressure","3/16","73/12974",0.0410958904109589,33.3236301369863,9.73152905686296,9.08053951851048e-05,0.0115928221186317,0.00700953927744669,"TAC1/REN/DRD2",3
"GO:0030540","female genitalia development","2/16","14/12974",0.142857142857143,115.839285714286,15.1064776405911,0.0001286435301545,0.0140772777283352,0.00851175237112479,"STRA6/RBP4",2
"GO:0060065","uterus development","2/16","18/12974",0.111111111111111,90.0972222222222,13.2915662325505,0.000215669230163448,0.0205006062103534,0.0123955843514573,"STRA6/RBP4",2
"GO:0010996","response to auditory stimulus","2/16","19/12974",0.105263157894737,85.3552631578947,12.9294928100449,0.00024086874137491,0.0205006062103534,0.0123955843514573,"STRA6/DRD2",2
"GO:0040018","positive regulation of multicellular organism growth","2/16","21/12974",0.0952380952380952,77.2261904761905,12.2840024088182,0.000295378451597017,0.0226097200750927,0.0136708490216309,"DRD2/IGF2",2
"GO:1900078","positive regulation of cellular response to insulin stimulus","2/16","22/12974",0.0909090909090909,73.7159090909091,11.9945393381177,0.000324682664263734,0.0226097200750927,0.0136708490216309,"ECHDC3/IGF2",2
"GO:0008217","regulation of blood pressure","3/16","139/12974",0.0215827338129496,17.5008992805755,6.87271428466285,0.000608464281997907,0.0388403033341997,0.0234845863227262,"TAC1/REN/DRD2",3
"GO:0045776","negative regulation of blood pressure","2/16","33/12974",0.0606060606060606,49.1439393939394,9.73029231852041,0.000736284048992357,0.0417269391990941,0.0252299756047841,"TAC1/DRD2",2
"GO:0048806","genitalia development","2/16","35/12974",0.0571428571428571,46.3357142857143,9.43703011488479,0.000828521734078152,0.0417269391990941,0.0252299756047841,"STRA6/RBP4",2
"GO:0048732","gland development","4/16","366/12974",0.0109289617486339,8.8620218579235,5.36121102598803,0.00086629590649326,0.0417269391990941,0.0252299756047841,"STRA6/DRD2/EDA/IGF2",4
"GO:0005978","glycogen biosynthetic process","2/16","37/12974",0.0540540540540541,43.8310810810811,9.16757183974796,0.000926054786402871,0.0417269391990941,0.0252299756047841,"GYG2/IGF2",2
"GO:0009250","glucan biosynthetic process","2/16","37/12974",0.0540540540540541,43.8310810810811,9.16757183974796,0.000926054786402871,0.0417269391990941,0.0252299756047841,"GYG2/IGF2",2
"GO:0016051","carbohydrate biosynthetic process","3/16","167/12974",0.0179640718562874,14.5666167664671,6.20036563390124,0.00103698157502436,0.0430146313941271,0.0260085719574219,"GYG2/RBP4/IGF2",3
"GO:0044057","regulation of system process","4/16","387/12974",0.0103359173126615,8.38113695090439,5.17998905795012,0.00106694255416242,0.0430146313941271,0.0260085719574219,"TAC1/REN/DRD2/SHISA6",4
"GO:0035272","exocrine system development","2/16","42/12974",0.0476190476190476,38.6130952380952,8.57910697992913,0.00119290144550321,0.0456022700681144,0.0275731741513953,"EDA/IGF2",2
"GO:0050795","regulation of behavior","2/16","43/12974",0.0465116279069767,37.7151162790698,8.4737235730198,0.00125019278254622,0.0456022700681144,0.0275731741513953,"STRA6/DRD2",2
"GO:0048168","regulation of neuronal synaptic plasticity","2/16","46/12974",0.0434782608695652,35.2554347826087,8.17812870004879,0.0014298586947405,0.049785080007783,0.0301022883103264,"DRD2/SHISA6",2
